bucket_start,total_requests,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_cost,actual_cost,total_duration_ms,active_users,computed_at,account_cost
2026-05-20 14:00:00+08,184,2518025,113773,0,26457472,20.1198875,20.1198875,3100714,1,2026-05-20 22:59:10.18924+08,20.1198875
2026-05-20 11:00:00+08,295,1494469,235166,0,32377984,19.1373085,19.1373085,5470071,1,2026-05-20 22:59:10.18924+08,19.1373085
2026-05-20 09:00:00+08,159,1639362,158763,0,15487232,10.549104,10.549104,3341239,1,2026-05-20 22:59:10.18924+08,10.549104
2026-05-20 20:00:00+08,107,1254659,139838,0,12328448,8.3163295,8.3163295,2985674,1,2026-05-20 22:59:10.18924+08,8.3163295
2026-05-20 10:00:00+08,283,3878452,244468,0,26314240,19.94171,19.94171,5694357,1,2026-05-20 22:59:10.18924+08,19.94171
2026-05-21 06:00:00+08,85,924316,72705,0,11819264,6.356181,6.356181,1541995,1,2026-05-21 07:02:10.11605+08,6.356181
2026-05-19 12:00:00+08,10,313132,7582,0,184960,0.9428,0.9428,156178,1,2026-05-20 22:59:10.146163+08,0.9428
2026-05-20 06:00:00+08,47,226523,43781,0,6435712,2.8319505,2.8319505,920940,1,2026-05-20 22:59:10.146163+08,2.8319505
2026-05-21 03:00:00+08,88,470773,47628,0,12487040,5.0131125,5.0131125,1382110,1,2026-05-21 04:02:10.117019+08,5.0131125
2026-05-19 23:00:00+08,47,469278,41129,0,3802752,2.740818,2.740818,862652,1,2026-05-20 22:59:10.146163+08,2.740818
2026-05-19 18:00:00+08,130,1337340,77088,0,12684032,7.670678,7.670678,1843360,1,2026-05-20 22:59:10.146163+08,7.670678
2026-05-21 01:00:00+08,107,483367,68102,0,14145024,5.7662035,5.7662035,1574239,1,2026-05-21 02:02:10.118311+08,5.7662035
2026-05-19 17:00:00+08,59,400582,46178,0,7263360,3.509965,3.509965,1036764,1,2026-05-20 22:59:10.146163+08,3.509965
2026-05-21 05:00:00+08,125,632703,95971,0,18534656,7.6549865,7.6549865,2120569,1,2026-05-21 06:02:10.115654+08,7.6549865
2026-05-19 13:00:00+08,121,1189401,128636,0,11308288,7.7301145,7.7301145,2699818,1,2026-05-20 22:59:10.146163+08,7.7301145
2026-05-18 20:00:00+08,2,7643,79,0,6016,0.0217965,0.0217965,5199,1,2026-05-20 22:59:10.116321+08,0.0217965
2026-05-21 04:00:00+08,121,480609,52417,0,18439168,6.5975695,6.5975695,1621337,1,2026-05-21 05:02:10.117472+08,6.5975695
2026-05-18 22:00:00+08,1,8162,46,0,5504,0.022471,0.022471,3333,1,2026-05-20 22:59:10.116321+08,0.022471
2026-05-20 00:00:00+08,191,1735443,145433,0,17440512,10.8802305,10.8802305,3254026,1,2026-05-20 22:59:10.146163+08,10.8802305
2026-05-19 20:00:00+08,32,176403,14119,0,3677184,1.5720885,1.5720885,345717,1,2026-05-20 22:59:10.146163+08,1.5720885
2026-05-20 07:00:00+08,127,2103629,109261,0,15128704,10.6801635,10.6801635,2362420,1,2026-05-20 22:59:10.146163+08,10.6801635
2026-05-20 01:00:00+08,157,2194542,137038,0,17413120,11.895205,11.895205,3015812,1,2026-05-20 22:59:10.146163+08,11.895205
2026-05-19 21:00:00+08,21,92457,11279,0,339840,0.4852875,0.4852875,267247,1,2026-05-20 22:59:10.146163+08,0.4852875
2026-05-19 22:00:00+08,42,585938,20007,0,5295872,3.088918,3.088918,580700,1,2026-05-20 22:59:10.146163+08,3.088918
2026-05-20 02:00:00+08,54,481667,62089,0,7706752,4.0621905,4.0621905,1272785,1,2026-05-20 22:59:10.146163+08,4.0621905
2026-05-19 19:00:00+08,150,725437,66238,0,15219584,6.6120585,6.6120585,1567692,1,2026-05-20 22:59:10.146163+08,6.6120585
2026-05-19 16:00:00+08,37,457449,27180,0,2143104,2.0870985,2.0870985,584006,1,2026-05-20 22:59:10.146163+08,2.0870985
2026-05-20 23:00:00+08,194,1154599,141222,0,26086912,13.589495,13.589495,3190612,1,2026-05-21 00:02:10.117531+08,13.589495
2026-05-30 23:00:00+08,59,278636,22249,0,3533952,1.913813,1.913813,566853,1,2026-05-31 00:02:00.658521+08,1.913813
2026-05-31 07:00:00+08,177,645563,65866,0,22335232,16.371411,16.371411,1867521,1,2026-05-31 08:02:00.654096+08,16.371411
2026-05-29 21:00:00+08,3,2520,1783,0,626816,0.379498,0.379498,44557,1,2026-05-30 21:36:00.796374+08,0.379498
2026-05-30 03:00:00+08,85,414824,48985,0,13114752,10.101046,10.101046,1178390,1,2026-05-30 21:36:00.796374+08,10.101046
2026-05-30 11:00:00+08,44,706549,53780,0,3970432,3.5656805,3.5656805,1090553,1,2026-05-30 21:36:00.978674+08,3.5656805
2026-05-30 08:00:00+08,15,130879,38049,0,1562240,2.576985,2.576985,732676,1,2026-05-30 21:36:00.978674+08,2.576985
2026-05-30 16:00:00+08,104,547159,57536,0,15682432,12.303091,12.303091,1412409,1,2026-05-30 21:36:00.978674+08,12.303091
2026-05-31 12:00:00+08,73,1703862,38502,0,5954304,11.4739815,11.4739815,944528,1,2026-05-31 13:02:00.654367+08,11.4739815
2026-06-01 20:00:00+08,41,64788,16190,0,5120384,3.369832,3.369832,476128,1,2026-06-01 20:05:00.660749+08,3.369832
2026-05-21 09:00:00+08,144,2323707,165764,0,16026112,12.3022555,12.3022555,3552638,1,2026-05-24 05:48:46.06692+08,12.3022555
2026-05-21 18:00:00+08,98,1024662,131605,0,11888512,7.507858,7.507858,2748872,1,2026-05-24 05:48:46.06692+08,7.507858
2026-05-22 12:00:00+08,20,551057,8526,0,1106432,1.7821405,1.7821405,222060,1,2026-05-24 05:48:46.150842+08,1.7821405
2026-05-22 15:00:00+08,142,2586751,125984,0,15005696,12.1080615,12.1080615,2731971,1,2026-05-24 05:48:46.150842+08,12.1080615
2026-05-24 10:00:00+08,165,840556,150738,0,12662272,14.40234835,14.40234835,3703684,1,2026-05-24 11:02:46.064978+08,14.40234835
2026-05-24 09:00:00+08,62,789392,56059,0,4498048,7.877754,7.877754,1220481,1,2026-05-24 10:02:46.067154+08,7.877754
2026-05-22 14:00:00+08,192,3181177,182721,0,22550272,16.3313255,16.3313255,3997001,1,2026-05-24 05:48:46.150842+08,16.3313255
2026-05-22 16:00:00+08,112,1193153,61313,0,13013632,7.1559855,7.1559855,1481740,1,2026-05-24 05:48:46.150842+08,7.1559855
2026-05-22 18:00:00+08,26,223766,8946,0,3878656,2.2312895,2.2312895,256824,1,2026-05-24 05:48:46.150842+08,2.2312895
2026-05-22 17:00:00+08,198,1885186,125250,0,24824320,13.444597,13.444597,2929384,1,2026-05-24 05:48:46.150842+08,13.444597
2026-05-22 10:00:00+08,466,5236746,488223,0,44260224,41.377865,41.377865,11229618,1,2026-05-24 05:48:46.150842+08,41.377865
2026-05-23 19:00:00+08,41,508235,38799,0,2573824,3.50060775,3.50060775,872234,1,2026-05-24 05:48:46.173442+08,3.50060775
2026-05-23 09:00:00+08,63,522533,7968,0,12369536,9.036473,9.036473,658019,1,2026-05-24 05:48:46.173442+08,9.036473
2026-05-23 17:00:00+08,4,33733,441,0,40448,0.202119,0.202119,13445,1,2026-05-24 05:48:46.173442+08,0.202119
2026-05-25 10:00:00+08,85,1385005,85732,0,5091328,7.4602556,7.4602556,1817366,1,2026-05-25 11:02:46.064411+08,7.4602556
2026-05-25 15:00:00+08,288,1976619,131816,0,34301568,29.03342125,29.03342125,4308592,1,2026-05-25 16:02:46.069433+08,29.03342125
2026-05-24 23:00:00+08,6,448431,9329,0,559104,1.50282545,1.50282545,128892,1,2026-05-25 00:02:46.06483+08,1.50282545
2026-05-23 18:00:00+08,32,80486,15357,0,1256960,1.49162,1.49162,344439,1,2026-05-24 05:48:46.173442+08,1.49162
2026-05-24 17:00:00+08,25,31521,9876,0,4191104,2.549437,2.549437,283642,1,2026-05-24 18:02:46.065532+08,2.549437
2026-05-23 10:00:00+08,91,588933,19684,0,8733440,7.901905,7.901905,648506,1,2026-05-24 05:48:46.173442+08,7.901905
2026-05-24 08:00:00+08,66,870550,43954,0,6207104,5.95190285,5.95190285,872493,1,2026-05-24 09:02:46.063883+08,5.95190285
2026-05-23 22:00:00+08,96,1983239,84564,0,6689664,8.2693763,8.2693763,1721792,1,2026-05-24 05:48:46.173442+08,8.2693763
2026-05-24 05:00:00+08,79,698805,50490,0,7252608,7.3230115,7.3230115,1101354,1,2026-05-24 06:02:46.065177+08,7.3230115
2026-05-24 06:00:00+08,44,656977,50408,0,5348096,6.53931545,6.53931545,1040440,1,2026-05-24 07:02:46.067017+08,6.53931545
2026-05-21 17:00:00+08,364,2957093,381890,0,48208512,25.1732105,25.1732105,8341235,1,2026-05-24 05:48:46.06692+08,25.1732105
2026-05-22 01:00:00+08,9,11567,45390,0,1197952,1.0092555,1.0092555,865581,1,2026-05-24 05:48:46.06692+08,1.0092555
2026-05-21 15:00:00+08,352,4197206,349229,0,42576768,26.375642,26.375642,7689212,1,2026-05-24 05:48:46.06692+08,26.375642
2026-05-21 14:00:00+08,200,2434928,214123,0,25739648,15.734077,15.734077,4637112,1,2026-05-24 05:48:46.06692+08,15.734077
2026-05-24 11:00:00+08,77,508358,30334,0,6843264,6.873442,6.873442,869313,1,2026-05-24 12:02:46.071158+08,6.873442
2026-05-21 19:00:00+08,170,735491,144548,0,15673088,7.9252195,7.9252195,3093113,1,2026-05-24 05:48:46.06692+08,7.9252195
2026-05-21 16:00:00+08,470,5794937,477743,0,60399744,36.8932145,36.8932145,11675938,1,2026-05-24 05:48:46.06692+08,36.8932145
2026-05-22 00:00:00+08,189,2424573,195105,0,18362752,13.5786955,13.5786955,4098554,1,2026-05-24 05:48:46.06692+08,13.5786955
2026-05-21 23:00:00+08,290,2242345,199687,0,34088704,17.1233435,17.1233435,4756008,1,2026-05-24 05:48:46.06692+08,17.1233435
2026-05-21 10:00:00+08,322,3390894,342436,0,37531392,22.996623,22.996623,7590904,1,2026-05-24 05:48:46.06692+08,22.996623
2026-05-21 22:00:00+08,581,3281798,294415,0,65177472,30.6654895,30.6654895,7381727,1,2026-05-24 05:48:46.06692+08,30.6654895
2026-05-21 13:00:00+08,393,3053706,413187,0,50828416,26.539174,26.539174,8762370,1,2026-05-24 05:48:46.06692+08,26.539174
2026-05-21 20:00:00+08,287,2842866,201484,0,37851392,19.71111,19.71111,4706247,1,2026-05-24 05:48:46.06692+08,19.71111
2026-05-21 21:00:00+08,389,4541135,279295,0,40749056,26.9868555,26.9868555,6313872,1,2026-05-24 05:48:46.06692+08,26.9868555
2026-05-21 11:00:00+08,420,4778565,395999,0,54681216,33.135609,33.135609,8557612,1,2026-05-24 05:48:46.06692+08,33.135609
2026-05-21 12:00:00+08,362,2591982,348600,0,51402752,27.6616545,27.6616545,7434701,1,2026-05-24 05:48:46.06692+08,27.6616545
2026-05-25 09:00:00+08,91,1415416,94580,0,6664832,8.1670395,8.1670395,1969938,1,2026-05-25 10:02:46.065132+08,8.1670395
2026-05-24 12:00:00+08,56,251254,38248,0,8951808,6.879614,6.879614,1010001,1,2026-05-24 13:02:46.065085+08,6.879614
2026-05-22 13:00:00+08,202,3043042,197727,0,19970944,15.5364715,15.5364715,4226549,1,2026-05-24 05:48:46.150842+08,15.5364715
2026-05-22 11:00:00+08,230,2589582,190324,0,27405568,17.632084,17.632084,4342866,1,2026-05-24 05:48:46.150842+08,17.632084
2026-05-22 09:00:00+08,155,1775033,79101,0,11503744,13.354189,13.354189,2000530,1,2026-05-24 05:48:46.150842+08,13.354189
2026-05-24 14:00:00+08,53,696028,36992,0,6351104,7.765452,7.765452,957708,1,2026-05-24 15:02:46.064646+08,7.765452
2026-05-24 16:00:00+08,46,403888,30876,0,4226176,5.058808,5.058808,714063,1,2026-05-24 17:02:46.064606+08,5.058808
2026-05-24 15:00:00+08,43,372657,27700,0,7337984,6.363277,6.363277,729411,1,2026-05-24 16:02:46.065139+08,6.363277
2026-05-25 14:00:00+08,185,1570159,101883,0,18050688,17.2180135,17.2180135,2952251,1,2026-05-25 15:02:46.064476+08,17.2180135
2026-05-25 11:00:00+08,82,1130271,97377,0,4940544,6.4052925,6.4052925,2906211,1,2026-05-25 12:02:46.06538+08,6.4052925
2026-05-25 12:00:00+08,39,181405,16312,0,2708096,2.750433,2.750433,400249,1,2026-05-25 13:02:46.067616+08,2.750433
2026-05-25 13:00:00+08,88,941579,46346,0,7044608,7.5725525,7.5725525,1208476,1,2026-05-25 14:02:46.065739+08,7.5725525
2026-05-25 16:00:00+08,158,1871968,92064,0,18572544,19.9681025,19.9681025,3439433,1,2026-05-25 17:02:46.068824+08,19.9681025
2026-05-25 17:00:00+08,180,742825,70104,0,21924352,15.7530805,15.7530805,2012323,1,2026-05-25 18:02:46.065386+08,15.7530805
2026-05-25 18:00:00+08,38,61703,15289,0,7971584,4.752977,4.752977,505917,1,2026-05-25 19:02:46.069025+08,4.752977
2026-05-25 20:00:00+08,284,1213058,203877,0,39309696,31.47955475,31.47955475,4941633,1,2026-05-25 21:02:46.064034+08,31.47955475
2026-05-25 19:00:00+08,121,804926,82857,0,7799424,9.569946,9.569946,1900956,1,2026-05-25 20:02:46.064074+08,9.569946
2026-05-25 21:00:00+08,23,137962,16905,0,1581312,1.895255,1.895255,395069,1,2026-05-25 22:02:46.066095+08,1.895255
2026-05-26 06:00:00+08,75,1046226,52823,0,6885376,10.201694,10.201694,1194688,1,2026-05-26 07:02:46.064377+08,10.201694
2026-05-30 00:00:00+08,69,894248,55220,0,5678848,8.967264,8.967264,1211027,1,2026-05-30 21:36:00.796374+08,8.967264
2026-05-30 06:00:00+08,9,759824,12391,0,178944,2.66001935,2.66001935,182619,1,2026-05-30 21:36:00.796374+08,2.66001935
2026-05-30 09:00:00+08,50,615005,46539,0,5115520,7.028955,7.028955,1003257,1,2026-05-30 21:36:00.978674+08,7.028955
2026-05-28 10:00:00+08,480,3413719,226721,0,69092096,58.416273,58.416273,7616352,1,2026-05-30 21:36:00.654775+08,58.416273
2026-05-30 12:00:00+08,58,491806,44082,0,10873984,9.218482,9.218482,1037084,1,2026-05-30 21:36:00.978674+08,9.218482
2026-05-26 00:00:00+08,144,829162,85958,0,21331328,17.390214,17.390214,2240944,1,2026-05-26 01:02:46.07133+08,17.390214
2026-05-28 16:00:00+08,465,2949780,275111,0,61980672,53.992566,53.992566,7104574,1,2026-05-30 21:36:00.654775+08,53.992566
2026-05-26 04:00:00+08,117,1534259,91764,0,12180992,12.11114075,12.11114075,1798605,1,2026-05-26 05:02:46.06404+08,12.11114075
2026-05-28 21:00:00+08,214,1139583,144172,0,28388352,24.217251,24.217251,3434763,1,2026-05-30 21:36:00.654775+08,24.217251
2026-05-26 01:00:00+08,88,474373,50602,0,13314432,10.547141,10.547141,1296705,1,2026-05-26 02:02:46.064848+08,10.547141
2026-05-28 19:00:00+08,227,1611357,152992,0,29222400,27.257745,27.257745,3581231,1,2026-05-30 21:36:00.654775+08,27.257745
2026-05-27 01:00:00+08,318,2590034,225741,0,34843136,37.143968,37.143968,5972904,1,2026-05-28 19:48:33.241275+08,37.143968
2026-05-28 08:00:00+08,193,1213045,104209,0,31047552,24.715271,24.715271,2816522,1,2026-05-30 21:36:00.654775+08,24.715271
2026-05-29 03:00:00+08,202,1550456,180206,0,23483904,24.900412,24.900412,3944452,1,2026-05-30 21:36:00.654775+08,24.900412
2026-05-28 13:00:00+08,616,5146192,386485,0,65691904,70.171462,70.171462,9197796,1,2026-05-30 21:36:00.654775+08,70.171462
2026-05-26 14:00:00+08,326,2064968,147564,0,39620096,34.4449945,34.4449945,4864630,1,2026-05-28 19:48:33.241275+08,34.4449945
2026-05-29 06:00:00+08,252,1236399,131966,0,33646336,26.964143,26.964143,3189988,1,2026-05-30 21:36:00.654775+08,26.964143
2026-05-25 22:00:00+08,79,571208,51882,0,13155328,10.990164,10.990164,1347523,1,2026-05-25 23:02:46.064322+08,10.990164
2026-05-27 20:00:00+08,9,127367,12911,0,984960,1.516645,1.516645,342382,1,2026-05-28 19:48:33.32998+08,1.516645
2026-05-26 05:00:00+08,133,993953,73892,0,22001408,18.187229,18.187229,1881797,1,2026-05-26 06:02:46.064797+08,18.187229
2026-05-28 17:00:00+08,414,2711839,212279,0,58526592,49.190861,49.190861,5981702,1,2026-05-30 21:36:00.654775+08,49.190861
2026-05-27 21:00:00+08,169,1379203,126019,0,15057152,18.205161,18.205161,3579908,1,2026-05-28 19:48:33.32998+08,18.205161
2026-05-28 09:00:00+08,304,1414108,130005,0,35789184,28.865282,28.865282,3952381,1,2026-05-30 21:36:00.654775+08,28.865282
2026-05-25 23:00:00+08,135,776167,84789,0,18636160,14.714935,14.714935,2108483,1,2026-05-26 00:02:46.064199+08,14.714935
2026-05-28 22:00:00+08,259,1649599,158604,0,33586048,29.799139,29.799139,3928465,1,2026-05-30 21:36:00.654775+08,29.799139
2026-05-27 14:00:00+08,58,459253,23433,0,5473024,5.735767,5.735767,682449,1,2026-05-28 19:48:33.32998+08,5.735767
2026-05-27 08:00:00+08,198,2167259,190284,0,16002944,22.64513105,22.64513105,4097026,1,2026-05-28 19:48:33.32998+08,22.64513105
2026-05-29 04:00:00+08,272,1991608,207814,0,34709248,33.547084,33.547084,4572071,1,2026-05-30 21:36:00.654775+08,33.547084
2026-05-28 23:00:00+08,188,1194489,130912,0,29351552,24.575581,24.575581,3246985,1,2026-05-30 21:36:00.654775+08,24.575581
2026-05-28 20:00:00+08,175,959616,136738,0,25954304,21.877372,21.877372,3144245,1,2026-05-30 21:36:00.654775+08,21.877372
2026-05-29 01:00:00+08,198,1192256,111854,0,31380480,25.00714,25.00714,2801843,1,2026-05-30 21:36:00.654775+08,25.00714
2026-05-27 09:00:00+08,163,1436537,102546,0,20498944,20.508537,20.508537,2679794,1,2026-05-28 19:48:33.32998+08,20.508537
2026-05-27 10:00:00+08,159,1598748,92788,0,20928256,21.241508,21.241508,3033338,1,2026-05-28 19:48:33.32998+08,21.241508
2026-05-27 23:00:00+08,161,1014502,93143,0,17246976,16.490288,16.490288,2712041,1,2026-05-28 19:48:33.32998+08,16.490288
2026-05-27 11:00:00+08,83,741056,36390,0,8597888,8.894566,8.894566,2418430,1,2026-05-28 19:48:33.32998+08,8.894566
2026-05-27 16:00:00+08,183,1093209,80918,0,24710912,20.347562,20.347562,2600873,1,2026-05-28 19:48:33.32998+08,20.347562
2026-05-28 02:00:00+08,360,1755858,297536,0,29759360,32.58505,32.58505,6748320,1,2026-05-28 19:48:33.32998+08,32.58505
2026-05-28 00:00:00+08,267,1505354,169499,0,29871616,27.547548,27.547548,4984900,1,2026-05-28 19:48:33.32998+08,27.547548
2026-05-27 18:00:00+08,38,121034,21439,0,4230400,3.36354,3.36354,658719,1,2026-05-28 19:48:33.32998+08,3.36354
2026-05-27 12:00:00+08,26,587247,9065,0,1276288,3.846329,3.846329,245857,1,2026-05-28 19:48:33.32998+08,3.846329
2026-05-28 03:00:00+08,296,2374928,227186,0,30290688,33.835564,33.835564,5126348,1,2026-05-28 19:48:33.32998+08,33.835564
2026-05-27 15:00:00+08,101,1036033,40875,0,11551872,11.2657875,11.2657875,1246348,1,2026-05-28 19:48:33.32998+08,11.2657875
2026-05-28 04:00:00+08,258,2029491,208644,0,24698368,28.755959,28.755959,5086111,1,2026-05-28 19:48:33.32998+08,28.755959
2026-05-28 01:00:00+08,141,845426,71621,0,22637312,17.54595075,17.54595075,2030421,1,2026-05-28 19:48:33.32998+08,17.54595075
2026-05-27 13:00:00+08,87,295315,33652,0,8085632,6.528951,6.528951,894591,1,2026-05-28 19:48:33.32998+08,6.528951
2026-05-28 05:00:00+08,180,1152824,145531,0,25358720,22.80941,22.80941,4305199,1,2026-05-28 19:48:33.32998+08,22.80941
2026-05-27 22:00:00+08,197,667013,135881,0,26528640,20.675815,20.675815,4099091,1,2026-05-28 19:48:33.32998+08,20.675815
2026-05-26 11:00:00+08,211,1416335,77878,0,28422656,23.629343,23.629343,4094288,1,2026-05-28 19:48:33.241275+08,23.629343
2026-05-27 03:00:00+08,40,644734,42936,0,5321216,6.30014325,6.30014325,1336092,1,2026-05-28 19:48:33.241275+08,6.30014325
2026-05-27 00:00:00+08,212,1087031,148380,0,22135680,20.954395,20.954395,3981676,1,2026-05-28 19:48:33.241275+08,20.954395
2026-05-26 10:00:00+08,309,1565597,134556,0,35970560,29.76686175,29.76686175,5106788,1,2026-05-28 19:48:33.241275+08,29.76686175
2026-05-26 08:00:00+08,133,1100069,73956,0,16204160,13.2855675,13.2855675,1945605,1,2026-05-28 19:48:33.241275+08,13.2855675
2026-05-26 12:00:00+08,89,1148187,69194,0,8984192,11.3651725,11.3651725,1581043,1,2026-05-28 19:48:33.241275+08,11.3651725
2026-05-26 18:00:00+08,43,368148,21964,0,7160448,6.079884,6.079884,688032,1,2026-05-28 19:48:33.241275+08,6.079884
2026-05-26 15:00:00+08,243,2588581,118069,0,31839232,31.79387825,31.79387825,3728396,1,2026-05-28 19:48:33.241275+08,31.79387825
2026-05-28 06:00:00+08,262,2841630,223936,0,30311808,36.082134,36.082134,5269960,1,2026-05-28 19:48:33.32998+08,36.082134
2026-05-27 19:00:00+08,12,131231,9096,0,1202688,1.530379,1.530379,304897,1,2026-05-28 19:48:33.32998+08,1.530379
2026-05-26 16:00:00+08,288,2407476,129754,0,37134976,31.8544725,31.8544725,4809760,1,2026-05-28 19:48:33.241275+08,31.8544725
2026-05-26 19:00:00+08,193,1702374,150049,0,16996992,20.6149585,20.6149585,3243303,1,2026-05-28 19:48:33.241275+08,20.6149585
2026-05-27 02:00:00+08,296,2229548,268128,0,35960064,37.171612,37.171612,5818185,1,2026-05-28 19:48:33.241275+08,37.171612
2026-05-26 22:00:00+08,166,1089221,140101,0,17907072,18.2797225,18.2797225,4202384,1,2026-05-28 19:48:33.241275+08,18.2797225
2026-05-26 23:00:00+08,260,2528774,184107,0,25477632,30.01997925,30.01997925,4308819,1,2026-05-28 19:48:33.241275+08,30.01997925
2026-05-26 21:00:00+08,163,1843757,122688,0,10472704,16.077584,16.077584,3330993,1,2026-05-28 19:48:33.241275+08,16.077584
2026-05-26 17:00:00+08,292,1273657,108169,0,41105920,30.166315,30.166315,3942931,1,2026-05-28 19:48:33.241275+08,30.166315
2026-05-26 20:00:00+08,103,650896,58276,0,16234240,13.11988,13.11988,1385758,1,2026-05-28 19:48:33.241275+08,13.11988
2026-05-29 16:00:00+08,640,4146956,317525,0,72194688,66.357874,66.357874,8588224,1,2026-05-30 21:36:00.796374+08,66.357874
2026-05-28 07:00:00+08,243,1438539,146275,0,31376256,27.269073,27.269073,3431470,1,2026-05-28 19:48:33.32998+08,27.269073
2026-05-29 10:00:00+08,316,1734097,118343,0,40633344,32.537447,32.537447,3444844,1,2026-05-30 21:36:00.796374+08,32.537447
2026-05-29 12:00:00+08,440,4018498,281304,0,46138880,51.60105,51.60105,6489915,1,2026-05-30 21:36:00.796374+08,51.60105
2026-05-29 17:00:00+08,308,2747145,152106,0,36251008,36.424409,36.424409,4105715,1,2026-05-30 21:36:00.796374+08,36.424409
2026-05-26 13:00:00+08,302,1392871,124575,0,36063488,28.733349,28.733349,3366760,1,2026-05-28 19:48:33.241275+08,28.733349
2026-05-26 09:00:00+08,395,3763086,268913,0,44464384,39.70548225,39.70548225,6683029,1,2026-05-28 19:48:33.241275+08,39.70548225
2026-05-27 17:00:00+08,198,2222221,94981,0,21617664,23.92207935,23.92207935,2814316,1,2026-05-28 19:48:33.32998+08,23.92207935
2026-05-29 11:00:00+08,447,2593903,170464,0,54905344,45.536107,45.536107,4941455,1,2026-05-30 21:36:00.796374+08,45.536107
2026-05-30 01:00:00+08,216,1687841,167932,0,26608896,26.781613,26.781613,3653694,1,2026-05-30 21:36:00.796374+08,26.781613
2026-05-29 13:00:00+08,636,4680248,364292,0,69672320,67.564205,67.564205,8861300,1,2026-05-30 21:36:00.796374+08,67.564205
2026-05-29 09:00:00+08,103,1304900,39642,0,13052416,14.239968,14.239968,1183983,1,2026-05-30 21:36:00.796374+08,14.239968
2026-05-29 08:00:00+08,10,184551,7818,0,1560320,1.937455,1.937455,196440,1,2026-05-30 21:36:00.796374+08,1.937455
2026-05-29 19:00:00+08,221,1252596,111637,0,26758784,22.991482,22.991482,2705481,1,2026-05-30 21:36:00.796374+08,22.991482
2026-05-29 14:00:00+08,526,3413966,320138,0,66550400,59.94917,59.94917,8292372,1,2026-05-30 21:36:00.796374+08,59.94917
2026-05-29 15:00:00+08,464,3880065,267778,0,57440256,56.153793,56.153793,7048666,1,2026-05-30 21:36:00.796374+08,56.153793
2026-05-28 18:00:00+08,146,946961,73911,0,17185920,15.545095,15.545095,1919158,1,2026-05-30 21:36:00.654775+08,15.545095
2026-05-31 08:00:00+08,28,153856,16541,0,2548224,2.539622,2.539622,401542,1,2026-05-31 09:02:00.659119+08,2.539622
2026-05-31 06:00:00+08,79,448361,35101,0,10206208,7.93868085,7.93868085,862328,1,2026-05-31 07:02:00.654032+08,7.93868085
2026-05-28 15:00:00+08,312,2340581,161947,0,36994304,35.058467,35.058467,4361645,1,2026-05-30 21:36:00.654775+08,35.058467
2026-05-28 11:00:00+08,634,4964613,293943,0,77371392,72.327051,72.327051,7917106,1,2026-05-30 21:36:00.654775+08,72.327051
2026-05-29 07:00:00+08,221,1614053,127478,0,26631936,24.21437725,24.21437725,2913212,1,2026-05-30 21:36:00.654775+08,24.21437725
2026-05-28 14:00:00+08,484,2029917,252270,0,64466560,49.950965,49.950965,6878663,1,2026-05-30 21:36:00.654775+08,49.950965
